gene_name,interaction_type,drug_name,approved
DRD3,NULL,METHOTRIMEPRAZINE,TRUE
IDH2,NULL,IVOSIDENIB,TRUE
DRD2,NULL,CLOZAPINE,TRUE
INSR,NULL,CERITINIB,TRUE
SLC6A2,inhibitor,ORPHENADRINE HYDROCHLORIDE,TRUE
GABRG2,positive modulator,SEVOFLURANE,TRUE
RELA,NULL,VORICONAZOLE,TRUE
KCNH2,NULL,SERTINDOLE,TRUE
TUBB2B,inhibitor,LEXIBULIN,FALSE
CCL21,NULL,ANGIOGENESIS INHIBITOR,FALSE
GFAP,NULL,PENTOXIFYLLINE,TRUE
PDE4A,NULL,ROFLUMILAST,TRUE
SLC26A2,NULL,PROTEIN S,FALSE
CSF1R,inhibitor,PEXIDARTINIB HYDROCHLORIDE,TRUE
GABRR2,NULL,CHLORDIAZEPOXIDE,TRUE
FGFR2,NULL,S-49076,FALSE
PTK2B,NULL,MASITINIB,TRUE
ATAD5,NULL,DIGOXIN,TRUE
AURKC,NULL,DANUSERTIB,FALSE
NATP,agonist,E6801,FALSE
HPGD,NULL,"5,7-DICHLOROKYNURENIC ACID",FALSE
AR,NULL,MESTANOLONE,FALSE
FEN1,NULL,CHEMBL:CHEMBL1341830,FALSE
RAPGEF3,NULL,IDARUBICIN,TRUE
GABRG3,NULL,FLURAZEPAM,TRUE
OPRM1,NULL,CHEMBL:CHEMBL255300,FALSE
CD40LG,NULL,ANTI-CD40 MONOCLONAL ANTIBODY CHI LOB 7/4,FALSE
TFAP2A,NULL,NELFINAVIR,TRUE
FAM178B,NULL,LITHIUM,TRUE
IL2RG,NULL,RECOMBINANT INTERLEUKIN-2,FALSE
FSHR,NULL,UROFOLLITROPIN,TRUE
OPRD1,NULL,SUFENTANIL,TRUE
ADRB1,NULL,PROTOKYLOL HYDROCHLORIDE,TRUE
ARSA,NULL,DECAMETHONIUM,TRUE
ABCA3,inhibitor,MRS1041,FALSE
BIRC5,NULL,MYCOPHENOLATE,TRUE
AOC1,agonist,XYLAZINE,FALSE
ALB,agonist,[125I]SAUVAGINE (FROG),FALSE
G6PD,NULL,MEPIVACAINE HYDROCHLORIDE,TRUE
GABRD,positive modulator,ETHCHLORVYNOL,TRUE
ABCA4,inhibitor,CYPROHEPTADINE HYDROCHLORIDE,TRUE
RECQL,NULL,GENTIAN VIOLET CATION,TRUE
PIK3CG,NULL,PHENYLEPHRINE,TRUE
CYP2C19,NULL,BUSULFAN,TRUE
AR,NULL,GUGGULSTERONE,FALSE
CYP27A1,NULL,RETINOIC ACID AGENT,FALSE
GDNF,NULL,ANTIDEPRESSANT AGENT,FALSE
GABRQ,positive modulator,PRAZEPAM,TRUE
PDE4A,inhibitor,THEOPHYLLINE SODIUM GLYCINATE,TRUE
DRD2,inhibitor,SULPIRIDE,TRUE
POLH,NULL,SULOCHRIN,FALSE
NFKB1,NULL,PARTHENOLIDE,FALSE
ADCYAP1R1,NULL,RECOMBINANT MONOCYTE CHEMOATTRACTANT PROTEIN-1,FALSE
TSPO,NULL,CHLORMEZANONE,TRUE
MUC16,NULL,TAMOXIFEN,TRUE
ABCA1,agonist,N(6)-CYCLOHEXYLADENOSINE,FALSE
CA9,NULL,CELECOXIB,TRUE
SCN7A,blocker,DRONEDARONE HYDROCHLORIDE,TRUE
HPGD,NULL,ALTANSERIN,FALSE
PDE4A,NULL,HT-0712,FALSE
CPT1B,inhibitor,FR122047,FALSE
MAP2K1,NULL,SELUMETINIB,TRUE
GABRA2,positive modulator,BREXANOLONE,TRUE
ZNF816,NULL,INFLIXIMAB-DYYB,TRUE
TBXAS1,NULL,ASPIRIN,TRUE
ADRA1D,NULL,PERICIAZINE,FALSE
ALK,NULL,CRIZOTINIB,TRUE
MAPK10,NULL,PROTEASOME INHIBITOR,FALSE
FMO2,inhibitor,COMPOUND 9 [PMID: 3514912],FALSE
TYK2,NULL,GO-6976,FALSE
AQP3,inhibitor,R116031,FALSE
KDR,inhibitor,ORANTINIB,FALSE
KEAP1,NULL,FLUOROURACIL,TRUE
SENP8,NULL,CHEMBL:CHEMBL312032,FALSE
CYP1A2,NULL,E324,FALSE
PPARD,NULL,NITROXOLINE,FALSE
RXRA,NULL,DIMETHYLFORMAMIDE,FALSE
MGMT,NULL,TRIAZENE COMPOUND,FALSE
CYP3A4,NULL,OXYPHENBUTAZONE,TRUE
HPGD,NULL,AMBUNOL,FALSE
PIK3R5,inhibitor,PF-04691502,FALSE
ABCB1,NULL,ANTICONVULSANT AGENT,FALSE
STRBP,NULL,METHYLPHENIDATE HYDROCHLORIDE,TRUE
PIK3C3,inhibitor,VOXTALISIB,FALSE
FGFR2,NULL,INAVOLISIB,FALSE
ANK3,agonist,GR 196429,FALSE
CYP3A4,NULL,BITHIONOLATE SODIUM,TRUE
IL6,NULL,DIHYDROSPHINGOSINE,FALSE
SSTR3,NULL,PASIREOTIDE,TRUE
TP53,NULL,CHEMBL:CHEMBL408850,FALSE
CYP2D6,NULL,CLOFAZIMINE,TRUE
PAK4,NULL,CHEMBL:CHEMBL379975,FALSE
TUBB3,modulator,KOS-1584,FALSE
AMD1,agonist,UR-PG131A,FALSE
APBB1,inhibitor,FILOREXANT,FALSE
AMD1,inhibitor,QUETIAPINE FUMARATE,TRUE
PIK3CA,NULL,NAVITOCLAX,FALSE
DRD1,NULL,AMITRIPTYLINE HYDROCHLORIDE,TRUE
CYP2D6,NULL,CHEMBL:CHEMBL101510,FALSE
CTRB1,inhibitor,HSD1590,FALSE
PDGFRB,inhibitor,IMATINIB,TRUE
ABL1,inhibitor,NILOTINIB,TRUE
TUBA1C,inhibitor,RG-7600,FALSE
