gene_name,interaction_type,drug_name,approved
INSR,NULL,NULL,NULL
INSR,NULL,NULL,NULL
PTGFR,NULL,NULL,NULL
TAAR1,NULL,NAPHAZOLINE HYDROCHLORIDE,TRUE
SCN11A,NULL,RILUZOLE,TRUE
TNF,NULL,NULL,NULL
NULL,NULL,BIVALIRUDIN,TRUE
NR3C1,NULL,NULL,NULL
MUC1,NULL,NULL,NULL
NULL,NULL,MOZAVAPTAN,FALSE
ADRA2C,NULL,IDAZOXAN HYDROCHLORIDE,FALSE
GMNN,NULL,DOXAZOSIN MESYLATE,TRUE
KCNJ10,NULL,GLYMIDINE,FALSE
NULL,NULL,KETANSERIN,FALSE
CHRM1,NULL,NULL,NULL
NULL,NULL,AVX-470,FALSE
SLC6A1,NULL,NULL,NULL
NFKB1,NULL,BACLOFEN,TRUE
NULL,NULL,PIPERACILLIN ANHYDROUS,TRUE
NULL,NULL,DIGOXIN,TRUE
HRH1,NULL,NULL,NULL
NULL,NULL,TIOCONAZOLE,TRUE
NULL,NULL,NULL,NULL
CYP1A2,NULL,GUAIFENESIN,TRUE
NULL,NULL,BMS-223131,FALSE
PLG,NULL,RADIOSUMIN B,FALSE
NULL,NULL,SYNTHETIC HYPERICIN,FALSE
NULL,NULL,APRATASTAT,FALSE
NULL,NULL,ROSTAFUROXIN,FALSE
NULL,NULL,PPL-100,FALSE
MPL,NULL,NULL,NULL
GLUL,NULL,TARENFLURBIL,FALSE
NULL,NULL,NULL,NULL
RAB40B,NULL,NULL,NULL
PDE4A,NULL,NULL,NULL
NULL,NULL,OTILONIUM BROMIDE,FALSE
ATXN2,NULL,CHEMBL:CHEMBL582699,FALSE
NULL,NULL,DEXTOFISOPAM,FALSE
GLP1R,NULL,NULL,NULL
HTR3A,NULL,NULL,NULL
GHR,NULL,NULL,NULL
BRDT,NULL,TRIAZOLAM,TRUE
ESRRA,NULL,PREGNENOLONE,FALSE
CHRM5,NULL,MEBEVERINE,FALSE
GHR,NULL,NULL,NULL
PTH1R,NULL,CHEMBL:CHEMBL586870,FALSE
GRIN1,NULL,NULL,NULL
GRIN2A,NULL,NULL,NULL
GRIN2B,NULL,NULL,NULL
SFTPA1,NULL,NULL,NULL
ATAD5,NULL,TYRPHOSTIN A9,FALSE
NULL,NULL,CHARYBDOTOXIN,FALSE
NULL,NULL,GEMCITABINE ELAIDATE,FALSE
NULL,NULL,CYCLACILLIN,TRUE
NULL,NULL,PIVAMPICILLIN,TRUE
IDH1,NULL,"2,4-DIACETYLPHLOROGLUCINOL",FALSE
NULL,NULL,ANTI-ALPHA5BETA1-INTEGRIN ANTIBODY,FALSE
NULL,NULL,VOLOCIXIMAB,FALSE
NULL,NULL,BI-D1870,FALSE
MAPK1,NULL,DERRUBONE,FALSE
NULL,NULL,ILOMASTAT,FALSE
LHCGR,NULL,NULL,NULL
NFKB1,NULL,MASOPROCOL,TRUE
CCL21,NULL,NULL,NULL
PTGDR2,NULL,LAROPIPRANT,TRUE
ABL1,NULL,CHEMBL:CHEMBL219557,FALSE
GMNN,NULL,CHEMBL:CHEMBL1415851,FALSE
MADCAM1,NULL,NAVARIXIN,FALSE
SCN10A,NULL,TIAPRIDE,FALSE
NFKB2,NULL,CHEMBL:CHEMBL602718,FALSE
ALOX5,NULL,NULL,NULL
NULL,NULL,HALOTHANE,TRUE
NULL,NULL,CLOFARABINE,TRUE
ADRA2A,NULL,NULL,NULL
PRTN3,NULL,NULL,NULL
WT1,NULL,NULL,NULL
ALDH1A1,NULL,ETHYL VANILLIN,TRUE
GPR55,NULL,NULL,NULL
VDR,NULL,DESMOSDUMOTIN C,FALSE
PTGS2,NULL,NULL,NULL
HDAC1,NULL,NULL,NULL
HDAC1,NULL,NULL,NULL
GABRA1,NULL,BUTALBITAL,TRUE
MTOR,NULL,MAPROTILINE,TRUE
NULL,NULL,ALPHA-KETOTHIAZOLE ANALOGUE 36,FALSE
LTB4R,NULL,NULL,NULL
NULL,NULL,NERATINIB,TRUE
SMG1,NULL,NULL,NULL
NULL,NULL,CLOMOCYCLINE,FALSE
HDAC8,NULL,LARGAZOLE,FALSE
ATP2A1,NULL,NULL,NULL
CRHR1,NULL,PEXACERFONT,FALSE
NULL,NULL,COLURACETAM,FALSE
FEN1,NULL,TYRPHOSTIN 23,FALSE
HSPE1,NULL,NULL,NULL
CYP3A4,NULL,PACHYRRIZINE,FALSE
SLC6A3,NULL,NULL,NULL
SLC6A2,NULL,NULL,NULL
GABRG3,NULL,ETAZOLATE,FALSE
PDE4D,NULL,MK-0873,FALSE
NULL,NULL,NULL,NULL
TLR2,NULL,NULL,NULL
CNR2,NULL,NULL,NULL
KDM4A,NULL,CHEMBL:CHEMBL1287983,FALSE
NULL,NULL,PHENELZINE,TRUE
ACHE,NULL,NULL,NULL
MAOA,NULL,NULL,NULL
TARDBP,NULL,CHEMBL:CHEMBL597035,FALSE
CAT,NULL,NULL,NULL
NULL,NULL,NULL,NULL
CPB2,NULL,NULL,NULL
NULL,NULL,ECALLANTIDE,TRUE
NULL,NULL,THIAMPHENICOL,FALSE
NULL,NULL,ECONAZOLE NITRATE,TRUE
CNR2,NULL,CP55940,FALSE
PDGFRB,NULL,TRAPIDIL,FALSE
NULL,NULL,IRON-DEXTRAN COMPLEX,TRUE
PTH2R,NULL,NULL,NULL
NULL,NULL,ILOMASTAT,FALSE
NULL,NULL,LINDANE,TRUE
EHMT2,NULL,SANGUINARIUM CHLORIDE,FALSE
HMGCR,NULL,HMG-COA REDUCTASE INHIBITOR,FALSE
MMP9,NULL,ILOMASTAT,FALSE
CNR1,NULL,NULL,NULL
NULL,NULL,DANEGAPTIDE,FALSE
NR3C1,NULL,FLUNISOLIDE ANHYDROUS,TRUE
NULL,NULL,VINPOCETINE,FALSE
NULL,NULL,IMRECOXIB,FALSE
IFNA5,NULL,NULL,NULL
AURKA,inhibitor,TOZASERTIB,FALSE
IFNW1,NULL,NULL,NULL
NULL,NULL,AMPRENAVIR,TRUE
NULL,NULL,NULL,NULL
NULL,NULL,PEMETREXED DISODIUM,TRUE
IL7R,NULL,NULL,NULL
TUBB,NULL,ALBENDAZOLE,TRUE
NULL,NULL,MBX-2044,FALSE
NULL,NULL,ARHALOFENATE,FALSE
NULL,NULL,DIDANOSINE,TRUE
NULL,NULL,EPALRESTAT,FALSE
NULL,NULL,TTP889,FALSE
FASN,NULL,NULL,NULL
FASN,NULL,NULL,NULL
NULL,NULL,RASAGILINE,TRUE
ADRA2A,NULL,NULL,NULL
IFNAR2,NULL,INTERFERON BETA-1B,TRUE
CDK2,NULL,CDK1/2/4 INHIBITOR AG-024322,FALSE
NULL,NULL,NULL,NULL
FOLR1,NULL,NULL,NULL
HRH1,NULL,AZATADINE,TRUE
VWF,NULL,NULL,NULL
NULL,NULL,CHEMBL:CHEMBL1077204,FALSE
HTR6,NULL,IDALOPIRDINE,FALSE
CSF3R,NULL,NULL,NULL
NULL,NULL,NULL,NULL
IFNL1,NULL,NULL,NULL
COMT,NULL,NULL,NULL
DRD2,NULL,NULL,NULL
NULL,NULL,PHENOL,TRUE
NULL,NULL,PHENOL,TRUE
NULL,NULL,PHENOL,TRUE
NULL,NULL,PHENOL,TRUE
CALCR,NULL,NULL,NULL
RPE65,NULL,TGAAG-76,FALSE
CA2,NULL,PHENOL,TRUE
GRIN2B,NULL,NULL,NULL
MS4A1,NULL,NULL,NULL
NULL,NULL,PATIROMER CALCIUM,TRUE
TP53,NULL,ALT-801,FALSE
IFNA2,NULL,NADOFARAGENE FIRADENOVEC,FALSE
PIK3CG,NULL,NULL,NULL
ALDH2,NULL,NULL,NULL
PSCA,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
REN,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,RRX-001,FALSE
INSR,NULL,NULL,NULL
COL18A1,NULL,NULL,NULL
PLG,NULL,NULL,NULL
NULL,NULL,CENSAVUDINE,FALSE
FGFR1,NULL,INFIGRATINIB,TRUE
NULL,NULL,NULL,NULL
GLUL,NULL,NULL,NULL
NULL,NULL,MBL-HCV1,FALSE
REN,NULL,NULL,NULL
NULL,NULL,BEVIRIMAT,FALSE
NULL,NULL,AFN-1252,FALSE
NULL,NULL,TIOTROPIUM,TRUE
ADAMTSL4-AS1,NULL,GLUCARPIDASE,TRUE
PRB2,NULL,CARFILZOMIB,TRUE
PLAU,NULL,UPAMOSTAT,FALSE
GBA1,NULL,TALIGLUCERASE ALFA,TRUE
ICOS,NULL,MEDI-570,FALSE
NULL,NULL,NAFCILLIN,TRUE
SLC6A9,NULL,NULL,NULL
FFAR1,NULL,NULL,NULL
XK,NULL,NULL,NULL
CYP3A,NULL,NULL,NULL
BMP2,NULL,NULL,NULL
NULL,NULL,NS-018,FALSE
NULL,NULL,NULL,NULL
CALCA,NULL,NULL,NULL
NRAS,NULL,NULL,NULL
EZH2,NULL,TAZEMETOSTAT,TRUE
CHRNA7,NULL,ENCENICLINE,FALSE
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
ELANE,NULL,NULL,NULL
F3,NULL,NULL,NULL
PIK3CA,NULL,COPANLISIB,TRUE
CD274,NULL,NULL,NULL
PDCD1,NULL,LIPUSTOBART,FALSE
MAP2K7,NULL,BINIMETINIB,TRUE
CD4,NULL,IBALIZUMAB,TRUE
PDE4A,NULL,ENPROFYLLINE,FALSE
NULL,NULL,CLEVIDIPINE,TRUE
CFTR,NULL,NULL,NULL
CFTR,NULL,NULL,NULL
SCN9A,NULL,NULL,NULL
TRPC4,NULL,NULL,NULL
TRPC5,NULL,NULL,NULL
EDNRA,NULL,NULL,NULL
EDNRB,NULL,NULL,NULL
ADORA2B,NULL,NULL,NULL
NULL,NULL,TUROSTERIDE,FALSE
NULL,NULL,TICARCILLIN,FALSE
NULL,NULL,NULL,NULL
NULL,NULL,CHEMBL:CHEMBL253996,FALSE
NULL,NULL,DOXACURIUM,TRUE
HRH1,NULL,BROMPHENIRAMINE,TRUE
KDR,NULL,NULL,NULL
NULL,NULL,IMIFOPLATIN,FALSE
NULL,NULL,DARIFENACIN,TRUE
NULL,NULL,FILIBUVIR,FALSE
ESR1,NULL,NULL,NULL
NULL,NULL,PSI-352938,FALSE
EPO,NULL,NULL,NULL
NULL,NULL,DB959,FALSE
HDAC9,NULL,NULL,NULL
ADRB3,NULL,NULL,NULL
NULL,NULL,NULL,NULL
ERBB2,NULL,NULL,NULL
VEGFA,NULL,NULL,NULL
SLC6A9,NULL,NULL,NULL
CCR2,NULL,NULL,NULL
NULL,NULL,NULL,NULL
MMP8,NULL,ILOMASTAT,FALSE
IL12B,NULL,NULL,NULL
GHSR,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,AV-101,FALSE
NULL,NULL,NULL,NULL
IGHE,NULL,NULL,NULL
GCGR,NULL,NULL,NULL
GLP1R,NULL,NULL,NULL
HSD11B2,NULL,NULL,NULL
TNC,NULL,NULL,NULL
CD19,NULL,NULL,NULL
MS4A1,NULL,NULL,NULL
CD19,NULL,NULL,NULL
RPS6KB1,NULL,P70S6K/AKT INHIBITOR M-2698,FALSE
TNFRSF9,NULL,NULL,NULL
CD19,NULL,NULL,NULL
CD33,NULL,NULL,NULL
CD19,NULL,NULL,NULL
CD22,NULL,NULL,NULL
CD19,NULL,NULL,NULL
CD22,NULL,NULL,NULL
PSCA,NULL,NULL,NULL
MUC1,NULL,NULL,NULL
GPC3,NULL,NULL,NULL
CD19,NULL,NULL,NULL
MS4A1,NULL,NULL,NULL
CD19,NULL,NULL,NULL
CD19,NULL,NULL,NULL
MS4A1,NULL,NULL,NULL
CD19,NULL,NULL,NULL
KLRK1,NULL,NULL,NULL
CD22,NULL,NULL,NULL
CD19,NULL,NULL,NULL
CD22,NULL,NULL,NULL
CD22,NULL,NULL,NULL
CD19,NULL,NULL,NULL
IL3RA,NULL,NULL,NULL
CLEC12A,NULL,NULL,NULL
CLEC12A,NULL,NULL,NULL
TNFRSF10B,NULL,NULL,NULL
CD274,NULL,NULL,NULL
MET,NULL,NULL,NULL
CD7,NULL,NULL,NULL
ERBB2,NULL,NULL,NULL
CDK8,NULL,BMS-387032,FALSE
SLAMF7,NULL,NULL,NULL
TNFRSF17,NULL,NULL,NULL
TNFRSF17,NULL,NULL,NULL
CD19,NULL,NULL,NULL
NULL,NULL,BEDAQUILINE FUMARATE,TRUE
NULL,NULL,FIDAXOMICIN,TRUE
HTT,NULL,CHEMBL:CHEMBL533226,FALSE
NULL,NULL,NAFRONYL,FALSE
FDXR,NULL,NULL,NULL
NULL,NULL,TAK-137,FALSE
NULL,NULL,NULL,NULL
CYP2C9,NULL,ZILEUTON,TRUE
RET,NULL,REGORAFENIB,TRUE
ADORA2A,NULL,REGADENOSON ANHYDROUS,TRUE
EDNRA,NULL,BOSENTAN ANHYDROUS,TRUE
SLC25A20,NULL,BEPRIDIL,TRUE
GNRHR,NULL,ABARELIX,TRUE
KDM4E,NULL,BUMETANIDE,TRUE
OPN4,NULL,ANILERIDINE HYDROCHLORIDE,TRUE
PRB2,NULL,BORTEZOMIB,TRUE
NULL,NULL,CORTISONE ACETATE,TRUE
SLC6A4,NULL,CHLORPHENTERMINE HYDROCHLORIDE,TRUE
IL2RA,NULL,NULL,NULL
NULL,NULL,IFOSFAMIDE,TRUE
AKT1,NULL,WITHAFERIN A,FALSE
NULL,NULL,FERROQUINE,FALSE
CAPN2,NULL,NULL,NULL
KDM4A,NULL,SCLEROTIORIN,FALSE
DHFR,NULL,PIRITREXIM,FALSE
KDM4A,NULL,CHEMBL:CHEMBL1609016,FALSE
VDAC3,NULL,NULL,NULL
TOP2A,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,ODALASVIR,FALSE
TOP2A,NULL,NULL,NULL
NULL,NULL,KB-001,FALSE
NULL,NULL,NULL,NULL
PPARA,NULL,NULL,NULL
RAB9A,NULL,CHEMBL:CHEMBL408653,FALSE
PARP1,NULL,NIRAPARIB,TRUE
XIAP,NULL,IDRONOXIL,FALSE
TOP2A,NULL,DOXORUBICIN-ELUTING BEADS,FALSE
HTR3A,NULL,DDP-225,FALSE
NULL,NULL,NULL,NULL
NULL,NULL,RAVIDASVIR HYDROCHLORIDE,FALSE
CLCN2,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR2,NULL,NULL,NULL
NULL,NULL,BIZALIMOGENE RALAPLASMID,FALSE
EHMT2,NULL,SHIKONIN,FALSE
NULL,NULL,BIZALIMOGENE RALAPLASMID,FALSE
NULL,NULL,NULL,NULL
TOP2A,NULL,TIRAPAZAMINE,FALSE
ABCC8,NULL,ACETOHEXAMIDE,TRUE
PARP1,NULL,TALAZOPARIB,TRUE
NULL,NULL,APOLIZUMAB,FALSE
NPSR1,NULL,BAY-11-7085,FALSE
NULL,NULL,ALOVUDINE,FALSE
PDGFB,NULL,NULL,NULL
GHR,NULL,NULL,NULL
MAPT,NULL,TRICETIN,TRUE
NULL,NULL,TC-2216,FALSE
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
IL5,NULL,MEPOLIZUMAB,TRUE
SMN2,NULL,CHEMBL:CHEMBL2094789,FALSE
NULL,NULL,NULL,NULL
NULL,NULL,VIQUIDACIN,FALSE
SLC6A4,NULL,NULL,NULL
CYP2D6,NULL,FINASTERIDE,TRUE
NULL,NULL,MELPHALAN,TRUE
TOP2A,NULL,NULL,NULL
NULL,NULL,TESAGLITAZAR,FALSE
ABL1,NULL,SARACATINIB,FALSE
NULL,NULL,BALAGLITAZONE,FALSE
NULL,NULL,SELUMETINIB,TRUE
NULL,NULL,NULL,NULL
CYP1A2,NULL,CGS 15943,FALSE
GRM2,NULL,NULL,NULL
GRM2,NULL,NULL,NULL
GRM2,NULL,NULL,NULL
GRM2,NULL,NULL,NULL
GRM3,NULL,NULL,NULL
GRM2,NULL,NULL,NULL
GRM2,NULL,NULL,NULL
GRM2,NULL,NULL,NULL
GRM2,NULL,NULL,NULL
ME3,NULL,MALEIC ACID,TRUE
GRM2,NULL,NULL,NULL
GRM2,NULL,NULL,NULL
GRM2,NULL,NULL,NULL
GRM2,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
KDM4E,NULL,NULL,NULL
KDM4E,NULL,NULL,NULL
KDM4E,NULL,NULL,NULL
KDM4E,NULL,NULL,NULL
KDM4E,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
KDM4C,NULL,NULL,NULL
KDM4C,NULL,NULL,NULL
KDM4C,NULL,NULL,NULL
BLM,NULL,CHEMBL:CHEMBL587856,FALSE
KDM4C,NULL,NULL,NULL
KDM4C,NULL,NULL,NULL
DGAT1,NULL,NULL,NULL
MGAT2,NULL,NULL,NULL
MGAT2,NULL,NULL,NULL
HSPA5,NULL,EUPAFOLIN,FALSE
DGAT1,NULL,NULL,NULL
MGAT2,NULL,NULL,NULL
DGAT2,NULL,NULL,NULL
DGAT1,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NFKB1,NULL,TRYPTAMINE,FALSE
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
IDH1,NULL,CHEMBL:CHEMBL578719,FALSE
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
POLI,NULL,EUPAFOLIN,FALSE
CYP46A1,NULL,NULL,NULL
CYP46A1,NULL,NULL,NULL
CYP46A1,NULL,NULL,NULL
CYP46A1,NULL,NULL,NULL
CYP46A1,NULL,NULL,NULL
CYP46A1,NULL,NULL,NULL
MCHR1,NULL,NULL,NULL
MCHR1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
RECQL,NULL,N-ARACHIDONOYLGLYCINE,FALSE
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
POLK,NULL,EUPAFOLIN,FALSE
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
KDM4A,NULL,GALLAMINE TRIETHIODIDE,TRUE
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
TRPV1,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
GMNN,NULL,PERPHENAZINE,TRUE
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
GCGR,NULL,NULL,NULL
GCGR,NULL,NULL,NULL
GCGR,NULL,NULL,NULL
GCGR,NULL,NULL,NULL
GCGR,NULL,NULL,NULL
BIRC2,NULL,NULL,NULL
BIRC3,NULL,NULL,NULL
POLK,NULL,METHACYCLINE HYDROCHLORIDE,TRUE
XIAP,NULL,NULL,NULL
XIAP,NULL,NULL,NULL
XIAP,NULL,NULL,NULL
BIRC2,NULL,NULL,NULL
XIAP,NULL,NULL,NULL
XIAP,NULL,NULL,NULL
BIRC2,NULL,NULL,NULL
XIAP,NULL,NULL,NULL
BIRC2,NULL,NULL,NULL
XIAP,NULL,NULL,NULL
XIAP,NULL,NULL,NULL
BIRC2,NULL,NULL,NULL
XIAP,NULL,NULL,NULL
BIRC2,NULL,NULL,NULL
BIRC3,NULL,NULL,NULL
XIAP,NULL,NULL,NULL
BIRC2,NULL,NULL,NULL
XIAP,NULL,NULL,NULL
MAPK8,NULL,NULL,NULL
MAPK9,NULL,NULL,NULL
MAPK10,NULL,NULL,NULL
MAPK10,NULL,NULL,NULL
MAPK8,NULL,NULL,NULL
MAPK9,NULL,NULL,NULL
MAPK8,NULL,NULL,NULL
MAPK9,NULL,NULL,NULL
MAPK8,NULL,NULL,NULL
MAPK9,NULL,NULL,NULL
NULL,NULL,NULL,NULL
MAPK8,NULL,NULL,NULL
NULL,NULL,NULL,NULL
MAPK8,NULL,NULL,NULL
MAPK8,NULL,NULL,NULL
MAPK8,NULL,NULL,NULL
MAPK8,NULL,NULL,NULL
MAPK8,NULL,NULL,NULL
MAPK8,NULL,NULL,NULL
MAPK9,NULL,NULL,NULL
MAPK10,NULL,NULL,NULL
MAPK8,NULL,NULL,NULL
CDK9,NULL,NULL,NULL
CDK5,NULL,NULL,NULL
NULL,NULL,NULL,NULL
CDK9,NULL,NULL,NULL
CDK1,NULL,NULL,NULL
CDK4,NULL,NULL,NULL
CHRM3,NULL,NULL,NULL
NULL,NULL,NULL,NULL
SRC,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT1,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
STAT3,NULL,NULL,NULL
FAAH,NULL,NULL,NULL
FAAH,NULL,NULL,NULL
FAAH,NULL,NULL,NULL
FAAH,NULL,NULL,NULL
FAAH,NULL,NULL,NULL
FAAH,NULL,NULL,NULL
TGM2,NULL,NULL,NULL
TGM2,NULL,NULL,NULL
TGM2,NULL,NULL,NULL
TGM2,NULL,NULL,NULL
HDAC9,NULL,NULL,NULL
HCRTR1,NULL,NULL,NULL
HCRTR2,NULL,NULL,NULL
HCRTR1,NULL,NULL,NULL
HCRTR2,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
SMO,NULL,NULL,NULL
GLI1,NULL,NULL,NULL
TYR,NULL,NULL,NULL
TYR,NULL,NULL,NULL
TYR,NULL,NULL,NULL
TYR,NULL,NULL,NULL
TYR,NULL,NULL,NULL
TYR,NULL,NULL,NULL
TYR,NULL,NULL,NULL
TYR,NULL,NULL,NULL
SETD2,NULL,NULL,NULL
SETD2,NULL,NULL,NULL
SETD2,NULL,NULL,NULL
SETD2,NULL,NULL,NULL
DNER,NULL,NULL,NULL
FEN1,NULL,METHYLTHIONINIUM CHLORIDE,FALSE
PLK1,NULL,NULL,NULL
DNER,NULL,NULL,NULL
DNER,NULL,NULL,NULL
BRD4,NULL,NULL,NULL
BRD4,NULL,NULL,NULL
DNER,NULL,NULL,NULL
DNER,NULL,NULL,NULL
DNER,NULL,NULL,NULL
DNER,NULL,NULL,NULL
SLC52A1,NULL,NULL,NULL
MAPT,NULL,DOCONEXENT,TRUE
SLC52A1,NULL,NULL,NULL
SLC52A1,NULL,NULL,NULL
SLC52A1,NULL,NULL,NULL
SLC52A1,NULL,NULL,NULL
DNASE1L3,NULL,NULL,NULL
MAOA,NULL,NULL,NULL
NULL,NULL,NULL,NULL
KDM4A,NULL,NULL,NULL
DNASE1L3,NULL,NULL,NULL
KDM4A,NULL,NULL,NULL
DNASE1L3,NULL,NULL,NULL
FLT1,NULL,TOZASERTIB,FALSE
NULL,NULL,NULL,NULL
KDM4A,NULL,NULL,NULL
DNASE1L3,NULL,NULL,NULL
DNASE1L3,NULL,NULL,NULL
DNASE1L3,NULL,NULL,NULL
DNASE1L3,NULL,NULL,NULL
DNASE1L3,NULL,NULL,NULL
RPS6KA3,NULL,CHEMBL:CHEMBL1997335,FALSE
DNASE1L3,NULL,NULL,NULL
FABP4,NULL,NULL,NULL
FABP5,NULL,NULL,NULL
FABP4,NULL,NULL,NULL
FABP5,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL
IDO1,NULL,NULL,NULL
MINK1,NULL,LINIFANIB,FALSE
IDO2,NULL,NULL,NULL
TDO2,NULL,NULL,NULL
KMO,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR2,NULL,NULL,NULL
CNR1,NULL,NULL,NULL
CNR2,NULL,NULL,NULL
CNR2,NULL,NULL,NULL
CYP2D6,NULL,TICLOPIDINE,TRUE
CNR2,NULL,NULL,NULL
